Model	annotator_1	annotator_2	V	Chambre	Emplacement	Rapport qualité-prix	Ambiance	Personnel
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_7@mail.com	sample	0.8594962566666282	0.9343126130984566	0.787919555430648	0.6186900683316213	0.9462301892212289
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_7@mail.com	full	0.7868767523554974	0.9549856944522027	0.6923429520710834	0.6002756631246762	0.9370193259817418
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_5@mail.com	sample	0.9337824087276401	0.9455052111572179	0.8393857430296204	0.7343493211272126	0.9670738969573957
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_5@mail.com	full	0.9230791565911686	0.9133091904748711	0.801726776220492	0.6922699351232082	0.9617934724070129
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_6@mail.com	sample	0.8320734239919116	0.9218945381585284	0.7665650098324637	0.5580776506320831	0.9570978936734539
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_6@mail.com	full	0.8199345310849845	0.9074254757159264	0.7532080426265247	0.5378987670768087	0.9686480006127908
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_9@mail.com	sample	0.9352141477979874	0.949819841607666	0.8049219318747517	0.7116889559191009	0.963021468748285
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_9@mail.com	full	0.7558143860497556	0.9299672299514772	0.7916709844205029	0.726034933681823	0.9656012191136443
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_12@mail.com	sample	0.8787180710550045	0.9406877766051976	0.6562630366427189	0.6873948995911117	0.9678011457696634
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_12@mail.com	full	0.8585358998406624	0.9216346588948362	0.7043936789795086	0.5999226453886148	0.9718139938265298
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_11@mail.com	sample	0.9105307689197956	0.9400190966823333	0.8103663016981566	0.753930381952712	0.965569681134713
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_11@mail.com	full	0.9020319769070222	0.9469808229084807	0.7832761388601875	0.7541689994479118	0.9687616074725561
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_2@mail.com	sample	0.9045209359268187	0.9352447205694765	0.7592411108939434	0.6919041186480102	0.9454613080181847
Llama-3.3-70B-Instruct-FP8	annotator_3@mail.com	annotator_2@mail.com	full	0.898925893919323	0.9166862302218926	0.7300667387270311	0.7137578845984859	0.9480725245065155
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_10@mail.com	sample	0.8500761265858298	0.8640355195741705	0.7162921348314607	0.6822259889807641	0.9564046727817836
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_10@mail.com	full	0.873986283678007	0.8296989329281934	0.6037053666994	0.530212802335092	0.9538956942534348
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_8@mail.com	sample	0.8425601024575606	0.9317701259061179	0.7556580103848499	0.6536810100931363	0.9606516033459213
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_8@mail.com	full	0.8560115412510898	0.9129482082220869	0.6584208944916021	0.5303827617518153	0.9602810383712194
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_1@mail.com	sample	0.8883232330937912	0.9452354007162842	0.7261732667451225	0.7394934063120427	0.9713809769310868
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_1@mail.com	full	0.8497739407066381	0.9312462444276068	0.5900273132711751	0.6046826794510777	0.9624913879337951
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_7@mail.com	sample	0.8591399912530947	0.9379130095957812	0.7554499194521345	0.6038128117698561	0.9403376672597829
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_7@mail.com	full	0.8133381096245687	0.9522246672217395	0.7527768057618606	0.5548972299841491	0.9315910236940255
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_5@mail.com	sample	0.8395037379926349	0.9256921120960839	0.7196787540842866	0.6065675237151175	0.9544212229444456
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_5@mail.com	full	0.8431445739335571	0.9001032544480777	0.6274450820292239	0.5333010890436869	0.9500134915269707
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_6@mail.com	sample	0.8930457752074983	0.95790363801945	0.7536335256992764	0.6478023870116627	0.9450196886955362
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_6@mail.com	full	0.8861046089451577	0.9300379891482863	0.7052259420936485	0.4354646230640478	0.9588505494983388
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_9@mail.com	sample	0.8418795156569036	0.9300145237025789	0.7538773412907809	0.6918546875715248	0.9672480504394446
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_9@mail.com	full	0.710054883458267	0.907536793304655	0.6683414117240452	0.5640415734757576	0.9516135316231249
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_12@mail.com	sample	0.8998473762664632	0.9172814918082765	0.6403397256290996	0.7389037710206181	0.9469287517474154
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_12@mail.com	full	0.924974583659032	0.9137923410540303	0.7556880212948217	0.6749311100510819	0.9598856081788285
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_11@mail.com	sample	0.8883383058064395	0.9328165061885743	0.7602648862790359	0.7089209864517206	0.9532517307712913
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_11@mail.com	full	0.8962396708941687	0.9387658454482353	0.6339133516093971	0.5400300604721349	0.9504471049985525
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_2@mail.com	sample	0.7994047518414085	0.9208416934025407	0.7066528367936469	0.6650725893677155	0.9292452695757294
Llama-3.3-70B-Instruct-FP8	annotator_4@mail.com	annotator_2@mail.com	full	0.8125899050757109	0.8943918833226145	0.608921463129526	0.5017563575281215	0.936026908906361
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_8@mail.com	sample	0.9252714493759626	0.8744901794704286	0.7963627885442471	0.675621088958495	0.9700606809317094
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_8@mail.com	full	0.9252714493759626	0.8744901794704286	0.7963627885442471	0.675621088958495	0.9700606809317094
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_1@mail.com	sample	0.9076630352881894	0.8526417342845685	0.7865515390199077	0.6889669650838169	0.9702651138176142
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_1@mail.com	full	0.8632273949837694	0.8635901779040057	0.7608035289542757	0.6816997209278346	0.9658101246345592
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_7@mail.com	sample	0.8802164268837016	0.8566577320797666	0.7842244418398148	0.6415632951687664	0.9474674261812026
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_7@mail.com	full	0.811435992556975	0.8264852455014685	0.6383895788084495	0.5257404653380948	0.9293942221976443
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_5@mail.com	sample	0.8933356196642354	0.8780338854628457	0.8016215290390597	0.6159816482969792	0.9617532602653865
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_5@mail.com	full	0.8933356196642354	0.8780338854628457	0.8016215290390597	0.6159816482969792	0.9617532602653865
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_6@mail.com	sample	0.8425157444289617	0.8513249899580255	0.767927795388596	0.6485916162763447	0.9497919829989633
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_6@mail.com	full	0.8425157444289617	0.8513249899580255	0.767927795388596	0.6485916162763447	0.9497919829989633
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_9@mail.com	sample	0.9414829293931913	0.8578019710974808	0.8041992426470689	0.6722218383729348	0.9598115391728261
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_9@mail.com	full	0.7643853356348785	0.8430344301711675	0.7521752371170564	0.6484789758637467	0.9614798396249579
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_12@mail.com	sample	0.8978620149199206	0.8877702001376341	0.7005677896611546	0.6794718425455024	0.9604484033109053
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_12@mail.com	full	0.8900387536051904	0.8881949789970605	0.6886646658099848	0.6298487531161356	0.9614869124279268
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_11@mail.com	sample	0.9115765726838938	0.8557216731184624	0.8077841148954076	0.6776571218734111	0.9603588426464098
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_11@mail.com	full	0.9064824703701364	0.8251408069676583	0.8035322544944901	0.6834921812368346	0.9646638480955891
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_2@mail.com	sample	0.878197799714262	0.8790970582429477	0.7942667180609249	0.7208414376790186	0.9382154283516211
Llama-3.3-70B-Instruct-FP8	annotator_10@mail.com	annotator_2@mail.com	full	0.878197799714262	0.8790970582429477	0.7942667180609249	0.7208414376790186	0.9382154283516211
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_1@mail.com	sample	0.9206824245114867	0.949357343061893	0.7937689474320995	0.7531318166271768	0.9723945719051552
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_1@mail.com	full	0.8643962162614935	0.9464468491128503	0.7855613384676354	0.710423607525548	0.9786154255188215
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_7@mail.com	sample	0.8613116919824082	0.9490214317097911	0.7831794945403341	0.6158775597489365	0.9431019623542019
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_7@mail.com	full	0.7841041928352557	0.9143831917364269	0.6753437303867186	0.5448286328742714	0.9248324311390576
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_5@mail.com	sample	0.9372516523128497	0.9577097893306233	0.8680134026194579	0.7573883735781112	0.9638754729234942
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_5@mail.com	full	0.9372516523128497	0.9577097893306233	0.8680134026194579	0.7573883735781112	0.9638754729234942
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_6@mail.com	sample	0.8384808637300236	0.9386883309414693	0.796579695473944	0.5553624621380701	0.9561899010180971
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_6@mail.com	full	0.8384808637300236	0.9386883309414693	0.796579695473944	0.5553624621380701	0.9561899010180971
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_9@mail.com	sample	0.9299087654469865	0.9486295461367709	0.8364532284473518	0.6999231114012774	0.9640649699140748
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_9@mail.com	full	0.7597797776563763	0.9323500019076288	0.7741696897329083	0.672741673379152	0.9614401740472638
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_12@mail.com	sample	0.8819269123260686	0.9369808201534321	0.6644882545375369	0.6376957169531153	0.9603494808289492
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_12@mail.com	full	0.8739750737410693	0.9414637054611552	0.7307353738737548	0.5921196301447995	0.9613959840711093
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_11@mail.com	sample	0.9102608485739422	0.9443186006708181	0.8244816947608493	0.7727409986265371	0.9667541133111753
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_11@mail.com	full	0.9087270440934382	0.9194872149109021	0.8054882855772592	0.7374979207728741	0.9667651036749343
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_2@mail.com	sample	0.9030015460318305	0.9550190395686471	0.7772727796606445	0.7246589773919693	0.9424224127870713
Llama-3.3-70B-Instruct-FP8	annotator_8@mail.com	annotator_2@mail.com	full	0.9030015460318305	0.9550190395686471	0.7772727796606445	0.7246589773919693	0.9424224127870713
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	annotator_7@mail.com	sample	0.8775411888426345	0.9496485220331374	0.7519560393777461	0.6122990096368319	0.9457307686961874
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	annotator_7@mail.com	full	0.8711067548185922	0.9360446489878594	0.6137750488474814	0.5461781275720804	0.922828452730688
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	annotator_5@mail.com	sample	0.9015713735670712	0.9380491375973552	0.8225725074834609	0.7122293052382379	0.9682135500114443
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	annotator_5@mail.com	full	0.8348348773130586	0.9404798396040243	0.8023284906519076	0.6829055624010236	0.9574973334892727
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	annotator_6@mail.com	sample	0.8760430019622718	0.9513900833550508	0.7586256022519597	0.6114327771896385	0.9461814028635394
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	annotator_6@mail.com	full	0.8050774029415755	0.9523360454195341	0.7542150333239807	0.6032042218605387	0.9584910167665688
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	annotator_9@mail.com	sample	0.9147938826037704	0.9576951884617889	0.7936005572560115	0.7258468259476676	0.972539073061331
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	annotator_9@mail.com	full	0.8034470756474252	0.9298224626529065	0.7580737559094045	0.6917405176441106	0.9657608756213643
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	annotator_12@mail.com	sample	0.9045036316411503	0.940175049780126	0.7509721075660767	0.7258343621787999	0.9502282160087068
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	annotator_12@mail.com	full	0.8619553189838991	0.9383177312649756	0.6629453014742036	0.6296932822710674	0.9636484578279811
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	annotator_11@mail.com	sample	0.9288675806778856	0.9568213330045209	0.820452180633886	0.7751043221850136	0.9565273633735948
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	annotator_11@mail.com	full	0.8848392109895966	0.9300888579220946	0.8003863267379127	0.7135884815343104	0.9689504284442946
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	annotator_2@mail.com	sample	0.8627313112609893	0.9364705139503913	0.7921805694497277	0.677708424492504	0.9304396241284143
Llama-3.3-70B-Instruct-FP8	annotator_1@mail.com	annotator_2@mail.com	full	0.8266139142973007	0.9354184774049592	0.7531942690653235	0.6526214609459182	0.936024653896923
Llama-3.3-70B-Instruct-FP8	annotator_7@mail.com	annotator_5@mail.com	sample	0.8184457500431933	0.9412095149898217	0.7828908201519751	0.5460367096677338	0.9393165100273712
Llama-3.3-70B-Instruct-FP8	annotator_7@mail.com	annotator_5@mail.com	full	0.7521875416839413	0.9070244773898269	0.6411613607456033	0.5308958480569478	0.919459941823741
Llama-3.3-70B-Instruct-FP8	annotator_7@mail.com	annotator_6@mail.com	sample	0.815132134593718	0.9478906797109197	0.8219518675383252	0.575782407503864	0.9370997965005828
Llama-3.3-70B-Instruct-FP8	annotator_7@mail.com	annotator_6@mail.com	full	0.7443392166218127	0.918531540601388	0.7210575260699663	0.37265875958091865	0.943306147762268
Llama-3.3-70B-Instruct-FP8	annotator_7@mail.com	annotator_9@mail.com	sample	0.8794066078527724	0.9542049026779339	0.8205360360009879	0.7284094802806201	0.9417605546989237
Llama-3.3-70B-Instruct-FP8	annotator_7@mail.com	annotator_9@mail.com	full	0.7960933969099645	0.9320835114328184	0.7021015662228174	0.6594420527936892	0.9180747583952426
Llama-3.3-70B-Instruct-FP8	annotator_7@mail.com	annotator_12@mail.com	sample	0.8820565952780087	0.923694006443699	0.6315571343068189	0.5804710029311682	0.9349464040354514
Llama-3.3-70B-Instruct-FP8	annotator_7@mail.com	annotator_12@mail.com	full	0.804937168829246	0.918826172610632	0.8269357378479817	0.5486712369193188	0.9406397013499939
Llama-3.3-70B-Instruct-FP8	annotator_7@mail.com	annotator_11@mail.com	sample	0.901341016582282	0.9533794352737109	0.8039141550247946	0.6733455928092871	0.9372191288727454
Llama-3.3-70B-Instruct-FP8	annotator_7@mail.com	annotator_11@mail.com	full	0.8242332105334109	0.9576022529329817	0.6525587819414662	0.615840002075615	0.9298760383277084
Llama-3.3-70B-Instruct-FP8	annotator_7@mail.com	annotator_2@mail.com	sample	0.8108031448824468	0.9542367360385274	0.7575991549854577	0.698093405261728	0.9251779704075297
Llama-3.3-70B-Instruct-FP8	annotator_7@mail.com	annotator_2@mail.com	full	0.762713088929705	0.9191812377266155	0.6134724247767759	0.5804231865382108	0.939419866425375
Llama-3.3-70B-Instruct-FP8	annotator_5@mail.com	annotator_6@mail.com	sample	0.8404675586303062	0.9310150470433445	0.7665786809594997	0.5092616825470766	0.944015706127757
Llama-3.3-70B-Instruct-FP8	annotator_5@mail.com	annotator_6@mail.com	full	0.8404675586303062	0.9310150470433445	0.7665786809594997	0.5092616825470766	0.944015706127757
Llama-3.3-70B-Instruct-FP8	annotator_5@mail.com	annotator_9@mail.com	sample	0.8964305060764927	0.9445707905372772	0.8123867511741658	0.609015710854479	0.9619694439046474
Llama-3.3-70B-Instruct-FP8	annotator_5@mail.com	annotator_9@mail.com	full	0.7302496445788849	0.9318718004515725	0.7409404779102953	0.5945887020078651	0.9553477365581257
Llama-3.3-70B-Instruct-FP8	annotator_5@mail.com	annotator_12@mail.com	sample	0.8732914962100128	0.9271576511847591	0.6971220622725884	0.6384914648852306	0.9480726939992907
Llama-3.3-70B-Instruct-FP8	annotator_5@mail.com	annotator_12@mail.com	full	0.8649967946339995	0.9315962814835832	0.7025095121816167	0.5977901247766665	0.9512419417971812
Llama-3.3-70B-Instruct-FP8	annotator_5@mail.com	annotator_11@mail.com	sample	0.8859876887741985	0.9385011989159692	0.8374708305331287	0.6941813835782698	0.9543797272429543
Llama-3.3-70B-Instruct-FP8	annotator_5@mail.com	annotator_11@mail.com	full	0.8825228332155204	0.906794143471749	0.8466554046770514	0.6908245639117064	0.9649476203482074
Llama-3.3-70B-Instruct-FP8	annotator_5@mail.com	annotator_2@mail.com	sample	0.8828835591421771	0.9416344664072309	0.7853943247538303	0.6565525238025902	0.9282579781147876
Llama-3.3-70B-Instruct-FP8	annotator_5@mail.com	annotator_2@mail.com	full	0.8828835591421771	0.9416344664072309	0.7853943247538303	0.6565525238025902	0.9282579781147876
Llama-3.3-70B-Instruct-FP8	annotator_6@mail.com	annotator_9@mail.com	sample	0.8254032402540851	0.9468787191488526	0.8288771747596826	0.6078784370499278	0.9380311391102973
Llama-3.3-70B-Instruct-FP8	annotator_6@mail.com	annotator_9@mail.com	full	0.6711530082735158	0.9288735582741626	0.7691117440162615	0.5725118906298998	0.951710764702526
Llama-3.3-70B-Instruct-FP8	annotator_6@mail.com	annotator_12@mail.com	sample	0.8946145624850669	0.9240850755302891	0.6291593607916895	0.6113012125353674	0.9537992741031313
Llama-3.3-70B-Instruct-FP8	annotator_6@mail.com	annotator_12@mail.com	full	0.8970074597853788	0.9323503815631361	0.8048578502804898	0.5322733830515022	0.9682040517675073
Llama-3.3-70B-Instruct-FP8	annotator_6@mail.com	annotator_11@mail.com	sample	0.8635065249322608	0.9423858160571335	0.7970307273410664	0.6200311101172992	0.9584926745940524
Llama-3.3-70B-Instruct-FP8	annotator_6@mail.com	annotator_11@mail.com	full	0.8665308024897902	0.9251116057321286	0.7806191130412432	0.6114773417765207	0.9569829389726336
Llama-3.3-70B-Instruct-FP8	annotator_6@mail.com	annotator_2@mail.com	sample	0.7961323811241464	0.929371461827094	0.7509354667019321	0.6156832203210545	0.9588918063982247
Llama-3.3-70B-Instruct-FP8	annotator_6@mail.com	annotator_2@mail.com	full	0.7961323811241464	0.929371461827094	0.7509354667019321	0.6156832203210545	0.9588918063982247
Llama-3.3-70B-Instruct-FP8	annotator_9@mail.com	annotator_12@mail.com	sample	0.8871201642955235	0.9430239050960313	0.66134805748045	0.6342981489127663	0.9441877209912888
Llama-3.3-70B-Instruct-FP8	annotator_9@mail.com	annotator_12@mail.com	full	0.7204351537745005	0.9296148333951342	0.7436845547769937	0.566364171300157	0.9526483556403532
Llama-3.3-70B-Instruct-FP8	annotator_9@mail.com	annotator_11@mail.com	sample	0.9149860569482222	0.9792994658593813	0.8188052259313751	0.7743778810416834	0.9525812291585285
Llama-3.3-70B-Instruct-FP8	annotator_9@mail.com	annotator_11@mail.com	full	0.7451591950609007	0.9458908088406979	0.7446937584053568	0.7611186819483862	0.9667274305611414
Llama-3.3-70B-Instruct-FP8	annotator_9@mail.com	annotator_2@mail.com	sample	0.8876232637585305	0.953708004829251	0.7895964302952073	0.7425700541107714	0.9245492249676895
Llama-3.3-70B-Instruct-FP8	annotator_9@mail.com	annotator_2@mail.com	full	0.7361057309853873	0.9428490859967175	0.736067674553623	0.710887556591076	0.9400573543999775
Llama-3.3-70B-Instruct-FP8	annotator_12@mail.com	annotator_11@mail.com	sample	0.9182501341834681	0.9386886253535083	0.7131975641822764	0.6595156460214964	0.962900792705302
Llama-3.3-70B-Instruct-FP8	annotator_12@mail.com	annotator_11@mail.com	full	0.9057934985919069	0.9149061309918687	0.6878294152889672	0.6082248778114945	0.9601032964261068
Llama-3.3-70B-Instruct-FP8	annotator_12@mail.com	annotator_2@mail.com	sample	0.839065788530494	0.9423854122182855	0.7225286225667755	0.639850406318691	0.9571113040666096
Llama-3.3-70B-Instruct-FP8	annotator_12@mail.com	annotator_2@mail.com	full	0.8300143282749772	0.9433069191157153	0.6716959677390999	0.5738590377832594	0.9517275066454147
Llama-3.3-70B-Instruct-FP8	annotator_11@mail.com	annotator_2@mail.com	sample	0.8680281369258761	0.9511585709639336	0.8040019668703527	0.7536464512715486	0.9553391739402541
Llama-3.3-70B-Instruct-FP8	annotator_11@mail.com	annotator_2@mail.com	full	0.8649646310539064	0.9206066253960192	0.7961241225244305	0.768256084061667	0.9452996851780205
