ID_Review	Sentences	EMPLACEMENT	SERVICE	NOURRITURE	AMBIANCE	RAPPORT QUALITÉ-PRIX
g187080-d1333601-r283609119	Le cadre est somptueux, le repas est très correct.. De bonnes lasagnes et un café gourmand agréable.. Mais si le service très décontracté est sympathique.. Il manque de professionnalisme.. Résultat des cocktails pris pour l'apéro servi avec les plats.. Je n'ai pris aucun plaisir a prendre mon mojito avec mes lasagnes.. que j'ai pourtant attendu près de 30mn.. Bref dommage..	0	1	1	1	0
g187080-d2219892-r274812572	On a pas mangé, on a bu de l'eau et de l'huile. Escalope milanaise panée sur un côté seulement et plein d'huile. Entrecôte avec plus de nerfs que de viande et j'en passe.	0	0	1	0	0
g187080-d2623263-r286459884	un resto qui ravira les papilles avec des produits très bien cuisinés. mais une catastrophe côté service : on a été oublié dans un coin, par contre, les tables de droite et de gauche ont eu droit à tous les égards (faut être américains ou famille nombreuse pour être intéressant faut croire!) on n'a pas eu de seau à glace pour le vin blanc, pas de pain durant le repas, on a dû se lever pour interpeler les serveuses qui ne nous jetaient même pas un regard, on a énormément attendu entre les plats qu'on veuille bien daigner nous débarasser les assiettes vides... bref! une soirée gustative gâchée par ces à-côtés très déplaisants 	0	1	1	0	0
g187080-d4326654-r264742272	Juste un appel pour réserver et savoir s'ils sont ouvert par rapport au avis de tripadvisor. La personne au téléphone est froide et on a l'impression de dérangé et pour un restaurant qui ferme vers 2h du matin, on nous informe qu'il reste juste une entrecôte ( je vous la met de côté si vous venez) et après il me reste que des omelettes cèpes, fromage, jambon. Personnellement aller manger au resto une omelette autant manger chez soi.	0	1	1	0	0
g187080-d6698528-r281099496	L'endroit est très beau, l'assiette est divine, les vins bouleversants, ajoutez à cela l'enthousiasme contagieux du patron : que demander de plus ? On est si bien à l'Art dit Vin, on y passe de bons moments :) 	0	0	1	1	0
g187089-d1177613-r285091795	"accueil sympa par 2 sénior""e""s qui mettent à l'aise Le rapport qualité prix est au top avec une cuisine locale et une climatisation manuelle qui nécessite une explication Il s'agit de 2*2 panneaux de bois fixes au plafond avec à leur base une bande de tissu flottant manipules par un esclave cache et qui procure un réel courant d'air frais Pour éviter une trop grosse demande incompatible avec leur taille de four , le souffle au grand margnier ne figure pas a la carte aussi prévoir de le commander en début de repas Une originalité :les légumes sont comptés à part , sans doute pour ne pas renchérir le prix des plats Un restaurant a l'ancienne qui a bien du charme"	0	1	1	1	1
g187089-d1330806-r286288418	"Généralement je ne mets des avis que lorsque je suis très satisfaite. Le cas échéant je me dis que je suis tombée le mauvais jour ou sur le mauvais plat, mais là je ne peux pas me retenir! Nous avons été attirés par les prix plutôt corrects. Mais quelle erreur! Nous avons pris chacun un menu à 25euros. Les fruits de mer en entrée étaient dégoûtants (sont-ils frais?). Les chipirons à l'encre étaient sucrés et insipides (sûrement congelés), l'assiette du pêcheur un peu mieux, mais on sent que rien n'est frais, ni préparé sur place et qu'ils utilisent des produits de mauvaise qualité. Les desserts étaient mangeables. Le service ne venait pas vraiment relever le niveau. Je n'avais qu'une hâte : partir! Petite touche d'humour : sur la façade il est écrit que les produits sont préparés selon l'humeur du chef. Il doit pas aller très bien! Il est aussi écrit : ""notre priorité : vous satisfaire"". Quelle blague! Ils n'ont pas honte!!!"	0	1	1	0	1
g187089-d1572979-r272660734	Nous avons pris l'assiette decouverte à 20 euros et nous n'avons pas été deçus Anchois, axoa, pommes de terre fromage salade ect.. copieux et surtout bon Produits frais, bien cuisinés La sangria était parfaite..	0	0	1	0	0
g187089-d1913353-r234290638	restaurant dans une charmante petite rue piétonne de Saint Jean de Luz. surprise avant même de passer la commande : une araignée était logée dans le menu !!! Aussitôt l'apéritif servi, la serveuse nous a apporté les soupes de poissons ! erreur vite rectifiée par le patron. J'ai commandé un magret bleu avec des frites, celui ci est arrivé servi avec du gratin de pommes de terre. il est reparti en cuisine pour être servi avec des frites et à son retour devant moi, il était froid !!! franchement pas le restaurant où je retournerai ! En plus la serveuse n'est même pas agréable et souriante 	1	1	1	0	0
g187089-d4844383-r231312697	Nous avons tout aimé. Le cadre, dîner au bord de la piscine. La cuisine qui mériterait largement une étoile au Michelin. Des associations de saveur et des cuissons impeccables.	0	0	1	1	0
g187141-d1324199-r286327725	Ce restaurant sur le port à attirer notre attention par la sobriété de sa carte. Notre choix s'est arrêté sur le menu du jour à 17,50 € (entrée +plat) En raison de la chaleur on nous a aimablement conseillé une table dans la salle climatisée. L'apéro à été un peu accéléré par un serveur visiblement pressé de finir son service et qui est venu nous proposer de goûter le vin alors que nous commentions seulement à goûter les toast de tapenade. ( repris rapidement par le chef de salle) La suite est plus heureuse avec En entrée un assortiment de charcuterie corse et des beignets de fromages excellentes. Puis une dorade du jour avec petits légumes : joliment présenté et très savoureux. Au final une bonne table à découvrir!	0	1	1	0	0
g187141-d1325386-r283648125	Le titre résume tout service mauvais prix abusif pour la prestation Vieux mouton en guise d'agneau assiette corse pire que sandwich SNCF assiette de fromage au singulier .....	0	1	1	0	1
g187141-d3373737-r270715967	J'y suis allé plusieurs fois l'an passé c'était très correcte mais à priori quelque chose a changé en cuisine par rapport à l'an dernier car c'est devenu un vrai cauchemar. Pizza avec la pate caoutchouc et pas cuite, entrecôte hyper grasse j'ai dû en manger 1/4. passez votre chemin ! Moi ils ne me verront plus...	0	0	1	0	0
g187141-d3524401-r283553902	Très bel endroit pour une pause déjeuner, à l'abri du soleil, avec un petit air rafraîchissant et vue sur le port. Cuisine simple mais bonne, Marco vous accueille très bien, vous donne des bonnes adresses si vous demandez. C'est un endroit très agréable.	1	1	1	1	0
g187141-d4148693-r285946967	On y a manger le soir, sa terrasse est sur une place très jolie avec son églises. Le repas était très bon l'entrée, le plat et le dessert. Juste un blême le serveur ou le directeur (j'ai pas compris ) avec son cigare il se reconnaîtra (tant pis), et il parle trop !!!!	1	1	1	1	0
g187147-d1013695-r253138572	"Honnêtement le cadre du restaurant est plutôt sympathique. Le service et l'accueil est ""jeune"" et professionnel. La carte vous propose un large choix type brasserie. Mais grosse déception... Le Burger aux fromages est bien présenté, mais la tranche de fromage est égale au Macdonald... Aucune saveur et intérêt... La sauce roquefort trop crémeuse, pas de goût... La mousse au chocolat est en réalité une ganache pleine d'eau... C'est pas bon signe... Vraiment dommage vu le quartier et le cadre."	1	1	1	1	0
g187147-d1050534-r269848889	"C'est une adresse où nous dînons régulièrement. Ici, tout est pro. De l'accueil à l'assiette en passant par le rythme du service. Le décor est magnifique et c'est mieux de réserver une table au second étage où se situe la verrière ouverte en été. La cuisine est à la hauteur de la réputation de ce restaurant. Les entrées sont à 7 euros et copieuses. Les plats sont bons mais ne vous attendez pas à de grandes surprises. Ils maîtrisent les plats typiques ""bistrot"". Les viandes sont excellentes notamment la bavette échalotes. Leur petit pot au chocolat en dessert est une tuerie. Petit bémol. Mon compagnon est végétarien et ils n'ont actuellement que des gnocchis à la crème de crustacés à proposer en plat. Il serait judicieux de mentionner une autre sauce à base de légumes pour les accompagner. Mais nous resterons des clients réguliers de cette adresse incontournable des amoureux des brasseries typiquement parisienne."	0	1	1	1	1
g187147-d1099976-r232935769	Le lieu est très sympathique, bien décoré. Les plats n'ont aucun goût, pas d'assaisonnement c'est tout à fait grossier pour une note bien salée. Pour bien connaitre la cuisine marocaine ce restaurant a tout d'un attrape touriste qui fait honte à la cuisine locale. De plus nous avons pris des bouteilles que nous n'avons pas terminés à table, nous n'avions même pas eu le droit de les amener dans la salle dansante du restaurant pour les terminer. Cette salle dansante est agréable malgré son étroitesse nous nous sommes amusés mais il y avait peu de monde alors je ne sais pas si le plaisir est toujours là les soirs d'affluence. Le service est correct poli mais sans entrain. Je n'ai pas bien mangé et je vous conseille de passer votre chemin.	0	1	1	1	1
g187147-d1336633-r250960733	Quelle déception ! Attente démesurée, le vin demandé n'est plus en cave, mais on ne nous en propose pas d'autre ! Par contre, sur la note, un vin très cher est compté !! 3 plats arrivent enfin, puis une viande demandée bleue apportée bien cuite. Longtemps après, les premiers ayant deja fini, la deuxième viande bleue, froide. Personnel peu aimable, peu disponible, un repas d'anniversaire qui a tourné aigre.	0	1	1	0	0
g187147-d1336634-r158837691	En famille, après une longue balade, la météo sympathique a fait que la terasse nous a attiré. Le service et la cuisine sont correctes. Nous avons pris des plats du jours. C'était bon, sans être exceptionnel. Les enfants ont adoré le mi-cuit au chocolat maison. Prévoir un temps d'attente pour les toilettes en sous-sol aux heures de pointes ;o)  Si vous passez par là, vous pouvez vous arreter pour le cadre, les oiseaux et canards environnants, mais sans attendre quelque chose d'exceptionnel de la cuisine.	0	1	1	1	0
g187147-d1336641-r193464567	On y a déjeuné en prenant deux fomules à 16 euros. Entrée plat dessert en plein Montmartre avec une qualité correcte, je trouve ça pas mal. Nous avons pris une carafe, je ne peux donc pas donner de jugement sur les boissons. Ravioles et tartiflette correctes, crêpe suzette passable. Effectivement les serveurs sont chez eux et ne font pas cas des clients quand ils discutent. Après ça mais une certaine ambiance dans la salle.	1	1	1	1	0
g187147-d1381703-r189533654	Repas ordinaire mais qui permet de manger à moindre coût et au chaud. Compter 12€ le menu pour adulte et 10€ pour un enfant. Par contre éviter les tables devant la porte si vous ne voulez pas attraper la mort. Le personnel n'est pas très sympa. On est un peu à l'étroit mais c'et le principe de ce genre de petite brasserie, déco à revoir car vieillissante mais familiale et conviviale.	0	1	1	1	1
g187147-d1392654-r268172302	Dîner décevant de tout point de vue : ambiance assez triste (seulement 4 tables occupées ce dimanche soir), service un peu froid (une seule personne en salle, souvent absente, il fallait attendre son retour à chaque fois que nous voulions demander quelque chose), plats décevants : le riz arborio aux truffes apparaissant dans le menu à la carte disponible sur le site web du restaurant était devenu un simple risotto aux champignons (très moyen au demeurant), pour le même prix (18 euros en entrée), et le ris de veau était trop cuit, sec, mal accompagné. Vins au verre décevants. Le soufflé que j'avais repéré sur la carte du site web n’était plus proposé. Addition : 160 euros à 2 avec 2 verres chacun et en partageant le dessert. Ça ne les vaut pas. Je ne recommande pas.	0	1	1	1	1
g187147-d1580042-r251298666	Une adresse à conseiller si vous aimez la cuisine traditionnelle, avec juste ce qu'il faut de goût. Les escargots sont délicieux, l'os à moelle savoureux, et le bourguignon de nos voisins embaumait... Petite salle mais beaucoup moins bruyante que l'on pourrait le croire, les vieilles pierres absorbent le bruit. Service souriant, ni trop lent ni trop rapide. Début de soirée 20 heures, pour sortir à 22 heures 30. Une vraie bonne soirée. Bon, un peu cher mais ce n'est pas un restaurant du quotidien.	0	1	1	1	1
g187147-d1791396-r208296800	Menus imposés. Apéritifs médiocres. Assiettes de tapas ridicules. Plat arrivé froid, viande mal cuite, pomme de terre froides, courgettes crues, salade chaude, plat trop salé dans son ensemble, bon point pour la sauce au vin. Vin âcre. Tarte aux pommes au calva sans calva digne d'une cantine d'école. Arnaque du siècle, les assiettes sont peu fournies, les plats médiocres et le rapport qualité/ prix est totalement ahurissant.	0	0	1	0	1
g187147-d1879548-r234068669	Des frites surgelées ... Des boissons hors de prix .. mais c'est la même chose sur toute la place ... des sièges peu confortables mais une couverture proposée ... une naturelle bonne humeur ... une nourriture correcte ... Choisissez une table qui vous permet de voir travailler les peintres de Montmartre Allez-y entre amis ou en famille ... Vous regretterez moins l'addition !	1	1	1	0	1
g187147-d2188108-r272608937	"Ce petit restaurant discret vaut le détour, d'abord - et il faut le souligner - pour le chaleureux accueil que le patron réserve à ses clients (merci pour le kir ;), mais aussi pour la qualité des plats servis. Les entrées sont simples mais très bonnes, et le menu offre deux séries de plats qui permettent de s'adapter à tous les budgets. Pour notre part, nous avons choisi le tartare de boeuf. L'assaisonnement était réalisé directement en cuisine et particulièrement délicieux. La gamme de dessert est humble, mais chacun d'eux est relevé par une petite touche créative du patron, qui en relève la saveur. Sans hésiter un endroit où il fait bon manger avec un ami ou un membre de sa famille, et qui contraste fortement avec les brasseries ""industrielles"" que l'on trouve parfois à Paris. N'hésitez pas !"	0	1	1	0	1
g187147-d2192483-r252643385	Une merveille ! Une cuisine fine, créative et absolument délicieuse, un cadre chaleureux et un service très agréable. En entrée, nous avons pris le haddock façon flammekueche (délicieux) et une sorte de canard confis en gelée avec noix et poires (très bon). En plat, j'ai complètement craqué sur le cabillaud risotto émulsion de chorizo (très surprenant). Enfin la masterpiece : le riz au lait vanille sauce caramel beurre salé (divin). La tarte sablée aux agrumes était également parfaite pour rafraîchir un diner particulièrement copieux. Les serveurs étaient également adorables. Un formidable moment, nous y retournerons c'est sûr, et recommandons chaudement ce restaurant !	0	1	1	1	0
g187147-d2217897-r197324978	j'ai deja manger dans plus de 50 brasseries a paris et c'est la 1 ere fois que je me sens oblige de laisse un avis...  le service etait proche du zero absolue et le serveur pas tres aimable mais... si la bouffe etait correcte, je ne serai pas venu ici mettre un avis..   j'ai pris bavette avec des frites! oh mon dieu, frites pas bien cuite, froide et qui sortent a peine du congelateur...la bavette aie aie aie, elle a baigne dans l'huile et aucun gout...  je pense me rattraper sur le dessert avec la mousse au chocolat lol, et je goute une mousse execrable vraiment! aucun gout, pire que celle de metro... meme les mousse au chocolat discount sont meilleurs....  je me suis vraiment demande si mes mecs etaient conscient de la m... qu'ils servaient…. pas de chance, jetais malade l'apres midi, le repas y est ss doute pour quelque chose!!  a fuir si vous prenez la bavette, des frites et une mousse!!!  je ne prendrez pas le risque de tester les autres plats...	0	1	1	0	0
g187147-d2390046-r135220748	Le meilleur cadre de la rue avec ses poutres et ses charpentes authentiques des tables spacieuses des prix et un rapport qualité prix rare avec des produits frais et fais maison. Différentes formules à 12,5€ , 15,80€ et 18,90€ qui regroupent entrée + plat + dessert !!! Autant dire que c'est très rare à St. Germain des Près. Les serveurs sont très souriants et patients. Un véritable coup de cœur .	0	1	1	1	1
g187147-d2460611-r181015656	Je suis allé à plusieurs reprises lors de mes escapades parisiennes, dîner dans cet établissement bien situé. L'accueil est très sympathique ; le personnel est dynamique, serviable. Cela fait plaisir de ressentir ça car cela devient de plus en plus rare. Manger le soir en terrasse est un pur régal. Le contenu des assiettes est tout aussi réussi : copieux et très bon de l'entrée aux desserts. Je continuerai aller passer de bons moments dans cet établissement lors de mes prochains voyages dans un cadre charmant	1	1	1	1	0
g187147-d2462243-r281238581	Nous avons été au départ attirés par une terrasse ensoleillée , au calme et par sa carte aux prix raisonnables. Depuis nous y avons déjeuner et dîner à plusieurs reprises. Les plats sont bons voire très bons , extrêmement variés avec un menu du jour poisson et viande modifié quotidiennement (Soupe de pois capuchino à ne pas manquer) Il s'agit d'une cuisine familiale faite maison la plupart du temps . L'équipe est sympa ,serviable . On est servi sans attente et avec bonne humeur. Je recommande	0	1	1	1	1
g187147-d2468909-r145609110	Un restaurant d'une médiocrité sans nom ! Nous avons attendu 15 mn pour qu'on nous prépare la table et 40mn après avoir commandé pour être servies un boeuf bourguignon dont la qualité et le goût laissent à désirer ! Des pommes de terres quasiment crues avec des carottes crues et une sauce sans goût et non assaisonnée ! Je crois que l'on ne s'est jamais autant moqué de notre tête ! Aucune communication de la part du personnel qui a servi d'autres clients arrivés après avant nous (entrée et plat) compris ! Un scandale ! J'ai vraiment failli partir au bout d'une 40mn d'attente lorsque j'ai vu l'assiette arriver car j'ai clairement trouvé le comportement de la patronne exécrable et dédaigneux. Un conseil : n'y mettez pas les pieds attrape touriste et une perte de temps et d'argent !	0	1	1	0	1
g187147-d2501061-r240926883	La vue de l'extérieur sur la grande étagère de bouteilles de vins nous a attirée. Nous sommes donc rentrés dans ce resto bar à vins à la déco hyper originale! Les serveurs sont adorables, le vin et les conseils pour le choisir sont au top! Idéal donc pour passer un apero avec une assiette de jambon à grignoter. Nous avons moins été séduits par les plats que nous avons trouvé un peu chers vs la qualite proposée bien que les produits soient frais et ça c'est important.	0	1	1	1	1
g187147-d2622854-r266371537	Dans une rue calme, l'accueil y est sympathique et chaleureux, la salle agréable et confortable. En famille ou entre amis, la tonalité de la musique à hauteur convenable, permet de tenir une conversation sans hurler, tout en dégustant d'excellents plats, joliment présentés et très savoureux, servis avec le sourire et accompagnés de très bons vins. A refaire !! 	1	1	1	1	0
g187147-d3522167-r271670227	Je suis bien conscient que cet avis ne changera rien, le bar étant placé de manière à toujours pouvoir attirer des touristes mais bon, un lieu aussi scandaleux merite d'être dénoncé. Le serveur dont nous avons hérité est un vieil acariâtre dont l'impolitesse traduit le dégoût qu'il a pour son métier et le peu d'estime qu il se porte sans doute à lui-même. Ce service désagréable au possible est couronné d'une carte incompréhensible, aux prix exhorbitants. Nous nous sommes contentés d'un verre chacun, lesquels n'étaient même pas propres. Un pur scandale.	1	1	1	0	1
g187147-d3726980-r265173396	Déjà le restaurant n'est pas très bien placé je trouve. Nous sommes entrez, et la, personne pour nous accueillir... Une télé d'allumer, mais nous avons bien attendu 5 minutes avant de voir quelqu'un, qui nous a demandé de passer dans le restaurant à côté... Accueil pas trop mauvais, mais j'aurais préféré pouvoir discuter avec mon conjoint sans être écouté par une des serveuses.. Au niveau du repas, ce fut assez rapide pour être servi. Le repas était assez bon, mais tout est sûrement congeléx et c'est dommage d'avoir eu mon dessert quand mon homme avait fini ! Nous avons découvert ce restaurant avec Groupon, je ne le conseille pas sans cette offre.	1	1	1	1	0
g187147-d3800655-r273788903	Clairement c'est notre cantine puisque nous travaillons juste à côté. la terrasse est grande et en grande partie ensoleillée, le service est efficace et rapide, formule changeant tous les jours, et il y des plats avec supplément qui moi me mettent souvent l'eau à la bouche. sympa pour prendre un verre après le boulot. ah : quand il fait un peu frisquet, la terrasse est chauffée et ils mettent des plaids à dispo sur les chaises, ça aide :) 	0	1	1	1	0
g187147-d4959566-r245854396	Un des rares resto du quartier. Bondé de salariés des entreprises du quartier. Les pizzas sont correctes et les plats du jour sont très chers. Pas de viandes sur la carte. Tiramisu très bon et abondant. À éviter l'hiver car peu des couverts en intérieur et la terrasse couvertes n'est pas suffisamment chauffée.	0	0	1	0	1
g187147-d695238-r242653723	Les excellentes critiques de ce restaurant se sont confirmées à table. Le menu-carte offre un choix pour tous les goûts et permet de découvrir des plats de saison bien présentés. La carte est a priori renouvelée chaque jour de 3 entrées, 3 plats et 3 desserts. Mais les incontournables restent manifestement la dorade en tartare, les crevettes cajun, les gnocchi d'agria à la truffe blanche, le dos de cabillaud à la plancha (parfaitement cuit et servi sur un lit de salsifis). La carte des vins est également courte et fait la part belle aux Côtes du Rhône et Languedoc Roussillon en mettant en avant des cuvées abordables dont quelques unes issues de producteurs reconnus. Service attentif et sympathique. Le sommelier n'hésite pas à changer une bouteille présentant un défaut. Ambiance bistrot chic. Un peu bruyant mais comme le restaurant parait rempli tous les soirs ... Il ne manquait que la fameuse boite de bonbons à la fin du repas ! Une bonne adresse à deux pas de l'Etoile.	1	1	1	1	1
g187147-d695254-r250598316	Encore un resto qui perd petit à petit de la qualité. La deco est géniale, je suis plutôt fan, même si la préférence va à la Deco de type recup ou industriel, cette deco type romantique me plait plutôt. A l'intérieur on est tranquille et si on aime voir du monde passer on se met en terrasse, très agréable en été d ailleurs ou je passe ps mal de temps avec les copains à regarder les gens passer. Encore un fois le problème comme dans pas mal de resto finalement le problème réside dans la nourriture qui n'est pas au niveau, ni de l'adresse, ni de l'effort fait à la déco. Il y a quelques années, le burger en forme de cœur était un must have, il est aujourd'hui devenu commun, je ne le finis meme plus.	0	0	1	1	0
g187147-d714937-r251436572	J'ai adoré le décors... J'ai apprécié l'histoire des lieux. Nus avons eu huîtres, crevettes roses et homard en entrée, les produits étaient de qualité. Les crevettes étaient fermes et excellente. le homard un peu petit, du canadien sans doute. Ensuite, la bouillabaisse en 2 services... La soupe tout d'abord très bonne, généreux en croûtons... La suite, les poissons très fins, un des poissons était rempli d'arrête, c'est dommage mais bon... Cela n'enlève rien à la qualité de la bouillabaisse... En dessert, une crêpe et un soufflé grand marnier. Belle réussite sur le soufflé, attention taille impressionnante !! Fond bien dans la bouche, pas lourd du tout ! C'était un très bon déjeuner.	0	0	1	1	0
g187147-d714947-r212090938	Un restaurant extrêmement bien situé tout en haut des Champs Elysée ! Niveau décoration cela reste très inventif et change de la décoration ordinaire. La cuisine est correcte pour les prix pratiqués. Le personnel est très occupé par les différentes tables donc ne vous attendez pas à une attention particulière envers vous ! Restaurant à essayer (au moins une fois) pour vous en faire une idée.	1	1	1	1	1
g187147-d714958-r229872842	Très bel endroit avec vue sur la Tour Eiffel c est certain mais et il y a vraiment un mais au delà des prix prohibitifs pour un dîner très moyen en qualité et très prétention en présentation... Le service est déplorable, il faut les supplier de prendre la commande, ils oublient d apporter la carafe d eau, ils ignorent nos mains levées et prennent un temps fou pour l addition Pour des touristes gogos et encore	1	1	1	1	1
g187147-d714974-r280161599	Cela faisait 5 ans que nous n étions pas revenu dans ce restaurant qui offre une terrasse superbe dans un quartier sympa de Paris ... Mais mon dieu quel désastre au niveau du service et de la cuisine. A notre arrivée 3 serveurs et serveuses nous sont passés devant avant que l on nous adresse simplement la parole. L arrivée de la responsable fut caricaturale avec son plan de table chiffonnée essayant de nous placer à l intérieur malgré notre demande express de la terrasse. Finalement nous avons gagné. Assis sur des chaises de jardin peu confortable nous attendons l apéro qui arrive très rapidement le seul hic c est la différence entre nos deux verres pour le même alcool 1/4 de quantité différente. Je vous passe le repas dont les produits sont quelconque. Même les desserts de Pierre herme que j inviterais à ne plus autoriser la distribution dans cet établissement ont été servi. Trop frais. Pour l accompagner j avais demander un verre de vin. N étant pas arrivé au moment de l addition je signale que ce n est plus la peine de me l apporter.et bien vous ne le croirez pas on me l à apporter avec l addition en me disant qu il était déjà servis. Ce qu il avait oublié de dire c est qu il était aussi déjà compté dans l addition. Bref je ne sais pas où sont passés les anciens propriétaires mais il faut que quelqu un reprenne cet établissement en main. En attendant un seul mot d ordre ne pas y aller. Ah oui j oubliais ne regarder pas la carte affichée en vitrine vous y verrez au moins 2 mouches mortes écrasées je n ose pas mettre un pied dans la cuisine. Pour les mouches j ai la photo. Mais je ne la publie pas pour les âmes sensibles	1	1	1	1	0
g187147-d714978-r253348916	Une table qui tient la route dans un quartier où les tables changent très vite? Sophistiqué mais sans trop, du monde mais pas bruyant du tout, à table ou au comptoir. Très beau menu à 35 euros le midi qui change tout le temps. A la carte,plus cher, la sole meunière est un véritable délice (49 euros tout de même) et chacun sait à quel point c'est difficile de la réussir. La côte de veau aussi. Vin au verre (heureusement!). Café gourmand exquis. En tout cas régulier dans un beau cadre à deux pas des Invalides.	0	0	1	1	1
g187147-d714983-r266137149	Quel plaisir dés l'accueil, ce grand sourire, cette bise, le tout très naturel, on n'est plus habitués à ce coté amical, surtout à Paris! Et le cadre !!! Et la cuisine !!! On vient aussi et surtout pour ça et notre dernier déjeuner était, comme toujours, extra : Turbot poché à la rhubarbe, sauce crémée avec sa purée de panais, île flottante et tarte aux pralines...le tout arrosé d'un excellent Beaujolais...que du bonheur et c'est ainsi que tous les clients deviennent des habitués, ou plutôt des amis	0	1	1	1	0
g187147-d714984-r276071093	Terrasse ensoleillée le dimanche, décor plutôt sympa, ça s' annonçait plutôt bien.... On commande deux piscines de champagne qui nous sont servies au bout de 20 min... et sans glaçons!!! Quand on demande à un serveur aigri comme un cornichon macéré dans du vinaigre depuis 54 ans si notre commande a bien été prise il nous agresse littéralement en nous disant que le champagne est en train d'être cherché (visiblement directement à Reims) Bref, les serveurs ne prennent même pas la peine de parler en anglais aux pauvres touristes échoués ici, la patronne siliconnée, botoxée, jusqu'à en avoir le visage figé (ça doit être la raison de sa cruelle absence de sourire) se pavane sur la terrasse mais ne fait pas avancer les commandes plus vite... Bref fuyez sauf si vous désirez gacher votre journée entourée de personnes arrogantes!	0	1	1	1	0
g187147-d714993-r162268720	Service superbe et très accueillant, malheureusement ils ne savent pas décrire les plats, les noms originaux des plats sont incompréhensible. Une fois servis j'ai cru que j'allais me sentir mal, ma bavette était noyée sous une quantité absurde de sauce au bleu insipide, quant à la salade de mon amie elle était pleine d'huile, de graisse et de gras. Pour Info nous sommes tous les 2 tombés malade dans la nuit. A fuir!!! 	0	1	1	0	0
