id	hotel	review_type	review	tokens
p41	budjet	positif	Une vue sur le port avec un balcon et un accueil très chaleureux. Des personnes extrêmement sympathiques.	chaleureux sympathique vue balcon port accueil extremement
p42	budjet	positif	L'emplacement au vieux port est super pour une nuit	super nuit emplacement vieux_port
n42	budjet	negatif	Accueil pas très sympa	accueil sympa
p43	budjet	positif	L'emplacement est très agréable, en plein cœur du vieux port, ce qui permet de voir la mer, les fameuses tours de la Rochelle, mais aussi d'accéder aux restaurants typiques. Autre point très appréciable : très proche de la garde et de l'aquarium. Établissement propre, personnel plutôt accueillant, chambre propre, calme.	tour garde acceder agreable rochelle propre fameux point emplacement restaurant mer typique accueillant vieux_port personnel etablissement aquarium appreciable coeur chambre calme
n43	budjet	negatif	La douche était un peu petite (enfin, plutôt la verrière, ce qui fait qu'il y a rapidement de l'eau sur le sol), et Wi-Fi plus que moyenne (le débit est bon, mais elle a tendance à s'arrêter toute seule et de manière répétée).	sol petit debit arreter verriere wifi repeter moyenne eau maniere rapidement tendance douche
p44	budjet	positif	emplacement parfait, calme la nuit. chambre confortable	parfait confortable nuit chambre emplacement calme
p45	budjet	positif	L'emplacement : vue sur le port de La Rochelle et en plein centre-ville. Le calme La propreté de la chambre La literie	proprete rochelle vue centre-ville port chambre literie emplacement calme
n45	budjet	negatif	Wifi non sécurisé. Impossible de se connecter à mon environnement professionnel Petit-déjeuner : jus d'orange au lieu d'un fruit frais, absence de laitage	securiser professionnel impossible connecter laitage wifi environnement jus_de_orange fruit absence lieu frais petit-dejeuner
p46	budjet	positif	Réceptionniste très sympathique. Nous sommes arrivés tard avec nos enfants et il est venu sur le perron de l'hôtel pour nous accueillir afin que nous ne cherchions pas la porte (la brasserie était fermée). Chambres accolées dans un couloir séparé des autres chambres, très pratiques quand on voyage en famille.  Chambres simples mais propres avec vue sur le port.	receptionniste hotel couloir chercher voyage vue port famille arriver accueillir perron simple sympathique propre porte fermer pratique enfant venir brasserie accoler tard chambre separer
p47	budjet	positif	L'emplacement était parfait et la chambre était propre et confortable	parfait confortable propre chambre emplacement
n47	budjet	negatif	Il y avait beaucoup de personnes dehors la nuit donc c'était bruyant, mais ça, l'hôtel n'y peut rien	bruyant hotel nuit
p48	budjet	positif	Petit déjeuner succinct mais bon. Emplacement idéal face au port	port succinct ideal face emplacement petit-dejeuner
n48	budjet	negatif	L'accueil du soir pas très aimable	soir accueil aimable
n49	budjet	negatif	Il faisait trop chaud dans la chambre	chambre chaud
p50	budjet	positif	Très bien situé, chambre avec balcon face au vieux port, établissement propre, literie très confortable, personnel sympathique, quartier très agréable	agreable personnel etablissement situer confortable sympathique quartier balcon propre chambre literie face vieux_port
n50	budjet	negatif	Quartier très bruyant, les double vitrages coupent bien le bruit mais comme pas de climatisation, s'il fait chaud et qu'on ouvre, le bruit est très présent.	climatisation vitrage bruit bruyant couper chaud present double quartier ouvre
p51	budjet	positif	La situation idéale de l'hôtel à proximité de tout et avec une belle vue	hotel situation proximite vue ideal
n51	budjet	negatif	Peut-être un peu de bruit lorsque les fenêtres sont ouvertes. Mais sinon c'est très calme une fois les fenêtres fermées	fenetre fermer bruit calme
p52	budjet	positif	Localisation de l'hôtel	localisation hotel
n52	budjet	negatif	L'insonorisation entre les chambres et entre les étages: - on entend beaucoup les voisins de chambre - on entend même la mise en place de la salle de réception alors qu'on était au 2ème étage	voisin entendre place mise etage chambre salle_de_reception NUMeme insonorisation
p53	budjet	positif	La chambre vue sur le vieux port avec balcon est vraiment génial	genial vue vraiment balcon chambre vieux_port
n53	budjet	negatif	Peut-être rajouter une petite table et chaise sur le balcon. Dommage pour l'Insonorisation insuffisante (bruits de la tv de la chambre voisine)....mais les autres clients n'étaient Peut-être pas très respectueux vis à vis des autres clients de l'hôtel	insuffisant bruit petit voisin vis hotel table chaise dommage rajouter client balcon tv chambre respectueux insonorisation
p54	budjet	positif	J'ai aimé la grandeur de la chambre. L'emplacement et surtout la propreté et aussi la discrétion du personnel.	proprete personnel discretion chambre aime emplacement grandeur
n54	budjet	negatif	Dans ma chambre il y avait une porte qui se fermait systématiquement. Elle etait lourde. Il faudrait juste quelque chose pour la laisser ouverte	chose porte fermer lourde systematiquement chambre falloir
p55	budjet	positif	localisation	localisation
p56	budjet	positif	L'emplacement	emplacement
n56	budjet	negatif	La chambre à côté de l'ascenseur	chambre cote ascenseur
p57	budjet	positif	L'accueil, la localisation tres bien. Le patron ainsi que son personnel étaient très agréables. Le petit-déjeuner très apprécié, rien à redire.	agreable redire personnel localisation apprecier patron accueil petit-dejeuner
p58	budjet	positif	La proximité du centre	proximite centre
p59	budjet	positif	Le calme, la vue	vue calme
p60	budjet	positif	Petit dej très bien	petit-dejeuner
n60	budjet	negatif	Rien à part la pomme de douche a changer	part pomme_de_douche changer
p61	budjet	positif	3ème etage car le 4ème donné initialement n etait pas chauffé	initialement chauffer etage donne NUMeme
p62	budjet	positif	Excellent emplacement, chambre familiale pour 4 très bien, salle de bain un peu petite	petit excellent NUM familiale chambre salle_de_bain emplacement
n62	budjet	negatif	La télévision ne fonctionnait pas correctement, image brouillée mais pour 1 seule nuit, cela n'a pas fait trop défaut. Pas de parking, il faut se stationner dans les rues avoisinantes et payer	rue parking image NUM stationner television correctement nuit payer avoisinant falloir brouiller fonctionner defaut
p63	budjet	positif	La position géographique était parfaite	geographique parfait position
n63	budjet	negatif	L'accueil pas agréable et non souriant	agreable accueil souriant
p64	budjet	positif	Chambre spacieuse, tout le nécessaire était présent.	chambre spacieux necessaire present
n64	budjet	negatif	La connexion WI-FI était compliquée.  L'isolation des chambres... (j'entendais mon voisin ronfler...)	isolation complique voisin wifi entendre ronfler connexion chambre
p65	budjet	positif	Hôtel parfaitement situé. Personnel agréable et souriant. Chambre confortable et propre. Petit déjeuner satisfaisant.	agreable hotel souriant personnel situer confortable satisfaisant propre chambre parfaitement petit-dejeuner
p66	budjet	positif	ma chambre avait un petit balcon qui donnait sur les 2 tours du vieux port. Une vraie surprise quand j'ai ouvert la fenêtre.	tour petit NUM fenetre vrai balcon surprise chambre donner vieux_port
p67	budjet	positif	La vue est incroyable, l'hôtel est très bien situé	hotel incroyable vue situer
n67	budjet	negatif	Lorsque nous sommes arrivés, il n'y avait personne pour s'occuper de nous	arriver occuper
p68	budjet	positif	L'emplacement en plein milieu du vieux port.	milieu emplacement vieux_port
p69	budjet	positif	Le cadre face au vieux port.	cadre face vieux_port
p70	budjet	positif	Très bon accueil, chambre agréable et confortable, emplacement parfait pour le puy du fou	agreable puy fou parfait confortable chambre accueil emplacement
p71	budjet	positif	L’ambiance et la vue geniale	vue ambiance geniale
n71	budjet	negatif	La télévision qui deconne le son se coupe régulièrement il fallait redemarrer la tele souvent et c etait desagreable. Mais le reste au top	top coupe television deconne falloir tele regulierement desagreable redemarrer
p72	budjet	positif	L’emplacement était super , la chambre nickel, la terrasse géniale, les lits confortables.	super nickel lit confortable terrasse genial chambre emplacement
n72	budjet	negatif	La salle de bain vraiment sommaire et très petite. L’accueil superficiel et pas vraiment agréable.	superficiel agreable petit sommaire vraiment salle_de_bain accueil
p73	budjet	positif	La situation, la propreté et l'isolation phonique	proprete isolation_phonique situation
p74	budjet	positif	Tout est parfait pour une journee et nuit a la Rochelle a un budget raisonnable. Tres bon emplacement.	parfait raisonnable rochelle nuit journee budget emplacement
n74	budjet	negatif	Un probleme avec le bac de douche qui est plat et sans ecoulement. On met de l’eau partout dans la salle de bain .	ecoulement partout probleme mettre bac_de_douche eau salle_de_bain plat
p75	budjet	positif	Emplacement exceptionnel, vue sur le port de la Rochelle. Bonne isolation phonique de la chambre, important pour un séjour en été car le port est très animé. Accueil très chaleureux du patron.	patron chaleureux important rochelle exceptionnel vue isolation_phonique sejour port chambre anime accueil emplacement
p76	budjet	positif	Super emplacement au centre de La Rochelle et accessible en 10 mins à pieds.	emplacement super mins pied NUM rochelle centre accessible
n76	budjet	negatif	En terme d’équipement c’est le minimum : n’oublier pas de rapporter du shampoing et savon.	rapporter shampoing oublier equipement savon minimum terme
p77	budjet	positif	Arrivée très tardive avec 3 enfants et aide immédiate. Le personnel était fort sympathique, agréable, aux petits soins. Petit déjeuner au top face aux jolies tours de la Rochelle. Chambre et salle d’eau très propre. Emplacement génial pour tous les lieux stratégiques et boutiques, nous reviendrons !	tour fort soin genial arrivee lieu revenir agreable immediat NUM rochelle sympathique propre face emplacement petit-dejeuner petit top strategique enfant boutique salle_de_eau personnel joli aide chambre
n77	budjet	negatif	Petit bémol sur la salle d eau qui ne peut bénéficier d ouverture extérieur et chambre familiale un peu petite avec mes 3 ados.  Toutefois, bel emplacement stratégique et très propre ! Je recommande✨✨	recommander ouverture petit salle_de_eau beneficier ados bel strategique chambre NUM familiale propre exterieur bemol emplacement
p78	budjet	positif	L’accueil était parfait et la gentillesse du personnel aussi. Bon emplacement et chambre confortable Je recommande sans hésiter. C’était top	recommander personnel top parfait confortable gentillesse hesiter chambre accueil emplacement
p79	budjet	positif	Personnel très accueillants. Emplacement idéal. Possibilité de laisser ses bagages. Chambre propre. Balcon très grand. Bonne insonorisation avec l'extérieur. Jolie chambre. Lit correct.	insonorisation personnel lit exterieur joli bagage grand correct possibilite propre balcon chambre ideal emplacement accueillant
n79	budjet	negatif	La salle de bain n'est pas très bien organisée: douche petite, rideau de douche qui n'empêche pas de mettre de l'eau partout, eau tiède ou trop chaude sans intermédiaire, obligé de se mettre de côté sur les WC (pas de place pour les jambes sinon). On entend la chasse d'eau des autres chambres.	obliger entendre cote douche organiser intermediaire wc empecher rideau_de_douche petit partout tiede place eau jambe mettre chaude chambre salle_de_bain chasse
p80	budjet	positif	Excellent accueil, très chaleureux. Très bien situé Je recommande	recommander chaleureux situer excellent accueil
p81	budjet	positif	Hotel très bien placé au milieu de toute les commodité Petit déjeuner le jour du marathon très minimaliste	hotel commodite milieu marathon minimaliste place jour petit-dejeuner
n81	budjet	negatif	"Salle de bain sans vmc donc pas de chauffage aucun crochet pour serviette, très mal ""foutu "" Nous avions froid le chauffage n'était même pas tiède"	crochet chauffage tiede serviette mal foutu vmc froid salle_de_bain
p82	budjet	positif	Hôtel conforme aux attentes bon rapport qualité prix très bon emplacement	hotel conforme rapport_qualite-prix attente emplacement
p83	budjet	positif	La situation est idéale sur La Rochelle et le personnel très accueillant. La literie était propre et confortable.	personnel situation confortable rochelle propre literie ideal accueillant
n83	budjet	negatif	Les parties communes sont en mauvais état.	partie_commune mauvais
p84	budjet	positif	Le calme,le lit,l emplacement,	lit emplacement calme
n84	budjet	negatif	Cuvette WC baladeuse,volets infermables,armoire sans poignée, douche pour lilliputiens... Accès labyrinthique rues bouchées...	baladeuse wc rue lilliputien infermables armoire acces douche bouchee poignee cuvette volet labyrinthique
n85	budjet	negatif	Les peintures très abimé dans la chambre (+ grosse marque d'infiltration d'eau)	grosse marque infiltration abime peinture eau chambre
p86	budjet	positif	près du port	port
n86	budjet	negatif	odeur venant des toilettes	venant toilette odeur
n87	budjet	negatif	Odeurs de canalisations dans la salle de bains	salle_de_bain odeur canalisation
p88	budjet	positif	la proximité du port et du centre ville	proximite centre-ville port
n88	budjet	negatif	rien de particulier	
p89	budjet	positif	L’emplacement est parfait. La vue de la chambre sur le port est extraordinaire.	parfait vue port chambre extraordinaire emplacement
n89	budjet	negatif	Accueil un peu froid. Odeur d’humidité dans les couloirs.	humidite couloir odeur froid accueil
p90	budjet	positif	L’emplacement	emplacement
n90	budjet	negatif	Ras	rien_a_signaler
p91	budjet	positif	Emplacement.	emplacement
n91	budjet	negatif	les fenêtres n isolent pas du bruit. Salle de bain humide...odeur forte du manque d aération  La climatisation serait utile..	climatisation humide bruit odeur utile fenetre manque forte isoler salle_de_bain aeration
p92	budjet	positif	La confort, la proximité.	proximite confort
n92	budjet	negatif	Il n'y a pas de climatisation, la chambre était bien chaude et nous avons du dormi fenêtre ouverte, un samedi soir sur le port de la Rochelle... C'est vraiment dommage pour cet hôtel	climatisation soir hotel chaude dormir fenetre rochelle dommage vraiment port chambre samedi
p93	budjet	positif	Acceuil et amabilité du personnel	amabilite acceuil personnel
n93	budjet	negatif	Rien	
p94	budjet	positif	L emplacement	emplacement
n94	budjet	negatif	Pas de clim et très chaud et avec le bruit extérieur impossible de dormir. Odeurs d égouts dans la chambre pas agréable	agreable bruit impossible clim chaud odeur dormir chambre egout exterieur
p95	budjet	positif	L’emplacement et la vue de la chambre ! La chambre mériterait cependant d’être un peu rafraîchie :)	meriter rafraichir vue chambre emplacement
p96	budjet	positif	Un emplacement parfait avec une superbe vue !	superbe parfait vue emplacement
n96	budjet	negatif	Un peu cher tout de même.	
n97	budjet	negatif	Pas de climatisation et impossible de rester la fenêtre ouverte car cela donne sur le port qui est très très animé la nuit tard voir tôt  Dommage autrement l emplacement est superbe	climatisation tot impossible fenetre dommage nuit tard port donne anime superbe emplacement
p98	budjet	positif	L’emplacement est génial, nous avions un balcon avec vue port.  La chambre est tout à fait fonctionnelle, taille correcte. Le personnel est très sympa Le prix	personnel prix taille fonctionnel correct genial vue balcon port chambre emplacement sympa
n98	budjet	negatif	Le bruit.  Après le bruit extérieur finalement ne dérange pas trop car les fenêtres sont en double vitrage et puis on se doute bien que vu l’emplacement en plein mois d’août ça ne peut pas être tranquille. En revanche c’est plus le bruit dans l’hôtel, les murs sont fins et on entend les voisins.	emplacement vitrage bruit deranger tranquille hotel voisin revanche entendre double fenetre mur finalement mois fin exterieur aout doute
p99	budjet	positif	Hôtel très bien situé	hotel situer
n99	budjet	negatif	Le bruit extérieur	exterieur bruit
p100	budjet	positif	petit déjeuner  confort des lits	lit confort petit-dejeuner
n100	budjet	negatif	RAS	rien_a_signaler
p101	budjet	positif	L emplacement et le personnel	emplacement personnel
n101	budjet	negatif	La vétusté de la chambre : tapisserie décollée, mauvaise aération dans la salle de bain	decoller tapisserie vetuste chambre salle_de_bain aeration mauvais
p102	budjet	positif	la vue	vue
n102	budjet	negatif	rien	
p103	budjet	positif	L emplacement de l'hôtel très bien, restaurant bon le personnel accueillant.	hotel personnel restaurant emplacement accueillant
p104	budjet	positif	La situation géographique	geographique situation
n104	budjet	negatif	Le bruit, mais normal vue la situation géographique	normal bruit situation geographique vue
p105	budjet	positif	L emplacement  L insonorisation de la chambre	insonorisation chambre emplacement
n105	budjet	negatif	Manque d un parking	manque parking
p106	budjet	positif	+ Emplacement idéal avec vue sur le port depuis la chambre + Chambre et salle de bain rénovées	renover salle_de_bain vue port chambre ideal emplacement
n106	budjet	negatif	- Salle de bain très exiguë (il n'est pas possible de fermer la porte de la salle de bain si on est sur les toilettes) - Bruit dans la rue jusqu'à minuit (après le calme est revenu)	bruit rue porte minuit toilette fermer revenu salle_de_bain exigu calme
p107	budjet	positif	l’emplacement était top	top emplacement
n107	budjet	negatif	pas d’endroit pour étendre les serviettes	endroit serviette etendre
p108	budjet	positif	L hôtel est idéalement situé et le personnel souriant. Les chambres sont fonctionnelles et propres. On a une bonne vue sur le port	idealement hotel souriant personnel situer fonctionnel vue propre port chambre
n108	budjet	negatif	La vmc ne fonctionnait pas dans la salle de bain	salle_de_bain fonctionner vmc
p109	budjet	positif	La proximité de la mer	proximite mer
n109	budjet	negatif	Les voisins bruyants	bruyant voisin
p110	budjet	positif	La gentillesse de l accueil	gentillesse accueil
n111	budjet	negatif	salle de bains pas assez de place  Trop de bruit la nuit dans la rue mois jusqu'à 3h 4h du matin	NUMh bruit rue matin place nuit mois salle_de_bain
p112	budjet	positif	Emplacement pratique, près de toutes commodités. Chambre et linge impeccables.	linge commodite pratique impeccable chambre emplacement
n112	budjet	negatif	Les toilettes sont à 30 cm du bord de la baignoire et le siège était cassé, c'était pas pratique.	siege casse baignoire toilette pratique NUM cm bord
p113	budjet	positif	la convivialité du personnel avec un très bon accueil  et l’emplacement dans le centre super bien placé  l’hôtel et accessible très facilement	emplacement super hotel personnel place convivialite facilement accueil centre accessible
n113	budjet	negatif	l’insonorisation de la chambre nous entendions souvent les autres clients de l’autre côté du mur	entendre mur cote client chambre insonorisation
p114	budjet	positif	L’accueil, l’emplacement et la literie	literie accueil emplacement
n114	budjet	negatif	La chaleur de la chambre!!! Sachant que l’hôtel est au cœur du port, l’ouverture des fenêtres est très désagréable car beaucoup de bruit jusqu’à plus de 2h du matin. Fenêtre fermée l’isolation est parfaite mais il faisait vraiment très très chaud et pas de ventilateur ni climatisation !!	isolation hotel chaleur parfait vraiment port ventilateur climatisation desagreable bruit ouverture chaud fermer sachant NUMh matin fenetre coeur chambre
p115	budjet	positif	Accueil hyper agréable et chaleureux _ charme d'un petit 2 étoiles loin des hôtels de groupe. J adore.  Emplacement+++++ ( inévitablement bruyant par le port, mais on ne choisit pas un hôtel sur le vieux port si on veut du calme impérativement)	chaleureux hotel port vouloir agreable NUM etoiler emplacement petit adorer imperativement charme choisir inevitablement vieux_port accueil groupe loin bruyant hyper calme
p116	budjet	positif	L'hôtel est extrêmement bien situé sur le vieux port de La Rochelle ! La chambre est grande avec une très bonne literie confortable ! Vous êtes à proximité des bars et restaurant, cet hôtel est parfait pour un séjour sur La Rochelle !	hotel bar restaurant proximite parfait situer confortable grand rochelle extremement sejour chambre literie vieux_port
n116	budjet	negatif	La chambre est pas très bien isolée malgré les doubles fenêtres...la chambre est donc légèrement bruyante. Il fait très chaud l'été et la chambre n'est pas climatisée.	climatise bruyant chaud legerement fenetre isoler chambre doubler
p117	budjet	positif	Excellent emplacement ! Bien qu un peu bruyant la nuit... Très bonne literie	bruyant excellent nuit literie emplacement
n117	budjet	negatif	Mériterait au moins un ventilateur	meriter ventilateur
p118	budjet	positif	Un emplacement idéal en plein sur le vieux port Personnel très aimable	personnel aimable ideal emplacement vieux_port
n118	budjet	negatif	Hotel bruyant au petit matin (portes qui claquent mais vraiment très fort et sans arrêt à partir de 6 heures du matin le dimanche!!)	claquer hotel petit porte arret bruyant matin fort NUM dimanche heure vraiment
p119	budjet	positif	Proximité de la gare et de la plage	plage proximite gare
n119	budjet	negatif	Environnement très bruyant toute la nuit ne permettant pas de dormir fenêtres ouvertes	bruyant dormir fenetre environnement nuit
p120	budjet	positif	L'amabilité du personnel : accueil et femme d'entretien.	femme personnel amabilite accueil entretien
n120	budjet	negatif	La fuite au plafond de salle d'eau L'agencement des toilettes	fuite salle_de_eau agencement toilette plafond
p121	budjet	positif	emplacement de l'hôtel parfait	parfait hotel emplacement
n121	budjet	negatif	propreté salle d'eau, état des peintures et des finitons	peinture finitons salle_de_eau proprete
n122	budjet	negatif	Pas de produits ( savon) ds la s de bains	s_de_bain savon produit ds
p123	budjet	positif	Bon accueil  emplacement idéal avec vue sur tes tours  visite de la rochelle à pied pas besoin de voiture	pied tour voiture visiter besoin rochelle vue ideal accueil emplacement
n123	budjet	negatif	manque 1 penderie (impossibilité de ranger ses affaires)et pas de porte serviette dans la salle de bains	impossibilite porte affaire serviette NUM manque ranger penderie salle_de_bain
p124	budjet	positif	La vue et l’emplacement	vue emplacement
n124	budjet	negatif	Pas de savon ni shampoing	savon shampoing
p125	budjet	positif	La vue sur la mer du balcon...	mer vue balcon
p126	budjet	positif	Emplacement idéal sur la place dégagée et vue sur la mer.	place mer vue degager ideal emplacement
n126	budjet	negatif	Odeur de canalisations dans les sanitaires de la chambre familiale.	odeur canalisation familiale chambre sanitaire
p127	budjet	positif	Très bien placé	place
n127	budjet	negatif	La clim serrait pas de trop	clim serrer
p128	budjet	positif	Emplacement le top	top emplacement
n128	budjet	negatif	Trop chaud ds la chambre	chambre chaud ds
